HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL
H0553,0,0,0
H0554,0,0,0
H0555,0,0,0
H0556,0,0,0
H0557,0,0,0
H0558,5555,17258,0
H0559,1167,650,0
H0560,2076,3933,0
H0561,70477,49411,0
H0562,0,0,0
H0563,0,0,0
H0564,0,0,0
H0565,0,0,0
H0566,0,0,0
H0567,0,0,0
H0568,0,0,0
H0569,88,555,0
H0570,0,0,0
H0571,0,0,0
H0572,0,0,0
H0573,0,0,0
H0574,0,0,0
H0575,320,7434,0
H0576,22902,11148,0
H0577,2072,2000,0
H0578,48699,29563,0
H0579,53576,23213,0
H0580,0,0,0
H0581,103841,34966,0
H0582,488,293,0
H0583,0,0,0
H0584,0,0,0
H0585,0,0,0
H0586,0,0,0
H0587,0,0,0
H0588,0,0,0
H0589,0,0,0
H0590,0,0,0
H0591,0,0,0
H0592,0,0,0
H0593,0,0,0
H0594,48158,15163,0
H0595,121074,147488,0
H0596,43841,37985,0
H0597,60566,32886,0
H0598,6098,695,0
H0599,62476,24451,0
H0600,29344,13670,0
H0601,0,0,0
H0602,0,0,0
H0603,0,0,0
H0604,16,138,0
H0605,0,0,0
H0606,0,0,0
H0607,0,0,0
H0608,0,0,0
H0609,145,747,0
H0610,10141,9249,0
H0611,14956,9166,0
H0612,103192,41676,0
H0613,73006,32182,0
H0614,48024,19979,0
H0615,71256,24596,0
H0616,116155,212136,0
H0617,1178,860,0
H0618,0,0,0
H0619,0,0,0
H0620,3710,2013,0
H0621,0,0,0
H0622,0,0,0
H0623,0,0,0
H0624,796,6173,0
H0625,375,7829,0
H0626,26392,30777,0
H0627,10094,38396,0
H0628,59400,35297,0
H0629,31040,13012,0
H0630,16388,5358,0
H0631,63176,47851,0
H0632,40778,23134,0
H0633,32307,9522,0
H0634,0,0,0
H0635,676,3000,0
H0636,0,0,0
H0637,0,0,0
H0638,0,0,0
H0639,0,0,0
H0640,0,0,0
H0641,572,3557,0
H0642,14663,13390,0
H0643,2791,38497,0
H0644,0,0,0
H0645,140382,193503,0
H0646,35507,32223,0
H0647,39260,25659,0
H0648,0,0,0
H0649,68339,81656,0
H0650,1074,2924,0
H0651,1021,1466,0
H0652,879,1421,0
H0653,0,0,0
H0654,0,0,0
H0655,0,0,0
H0656,0,0,0
H0657,0,0,0
H0658,929,5074,0
H0659,2791,18226,0
H0660,18695,12111,0
H0661,30397,30800,0
H0662,92570,49761,0
H0663,29266,53091,0
H0664,0,0,0
H0665,42664,31760,0
H0666,11783,7469,0
H0667,21935,27856,0
H0668,719,1017,0
H0669,107,949,0
H0670,15,660,0
H0671,0,0,0
H0672,0,0,0
H0673,0,0,0
H0674,0,0,0
H0675,0,0,0
H0676,5726,9225,0
H0677,10723,10868,0
H0678,2273,16028,0
H0679,19971,37629,0
H0680,53306,23832,0
H0681,0,0,0
H0682,51027,31167,0
H0683,44569,17565,0
H0684,1515,1519,0
H0685,4471,10812,0
H0686,778,2140,0
H0687,1717,2580,0
H0688,0,0,0
H0689,0,0,0
H0690,0,0,0
H0691,0,0,0
H0692,0,0,0
H0693,0,0,0
H0694,0,0,0
H0695,0,0,0
H0696,7448,5979,0
H0697,37678,24377,0
H0698,28446,11860,0
H0699,5340,32556,0
H0700,33738,10097,0
H0701,21249,13397,0
H0702,2377,9534,0
H0703,70473,64277,0
H0704,0,0,0
H0705,0,0,0
H0706,0,0,0
H0707,146,122,0
H0708,0,0,0
H0709,0,0,0
H0710,0,0,0
H0711,0,0,0
H0712,0,0,0
H0713,0,0,0
H0714,0,0,0
H0715,0,0,0
H0716,4178,4194,0
H0717,60325,46600,0
H0718,271071,276577,0
H0719,2381,11959,0
H0720,4763,2493,0
H0721,0,0,0
H0722,14164,23834,0
H0723,95327,193164,0
H0724,13872,9214,0
H0725,0,0,0
H0726,619,1492,0
H0727,68237,52808,0
H0728,14150,3028,0
H0729,0,0,0
H0730,0,0,0
H0731,0,0,0
H0732,0,0,0
H0733,0,0,0
H0734,0,0,0
H0735,30,100,0
H0736,18332,33259,0
H0737,102738,67409,0
H0738,19148,11698,0
H0739,1723,1393,0
H0740,4010,2402,0
H0741,21445,17485,0
H0742,7514,8077,0
H0743,51370,20695,0
H0744,0,0,0
H0745,0,0,0
H0746,0,0,0
H0747,1199,4924,0
H0748,98810,32094,0
H0749,0,0,0
H0750,0,0,0
H0751,0,0,0
H0752,0,0,0
H0753,0,0,0
H0754,0,0,0
H0755,0,0,0
H0756,0,0,0
H0757,11044,24652,0
H0758,22606,34336,0
H0759,35328,19112,0
H0760,0,0,0
H0761,37883,22533,0
H0762,2177,1345,0
H0763,6277,6556,0
H0764,81903,48639,0
H0765,58431,22896,0
H0766,0,0,0
H0767,9,136,0
H0768,0,0,0
H0769,18688,18370,0
H0770,153662,132276,0
H0771,0,0,0
H0772,0,0,0
H0773,0,0,0
H0774,0,0,0
H0775,9014,31202,0
H0776,1335,32821,0
H0777,7481,24287,0
H0778,15203,9059,0
H0779,0,0,0
H0780,13454,6676,0
H0781,0,0,0
H0782,17051,5617,0
H0783,15719,10132,0
H0784,0,0,0
H0785,0,0,0
H0786,0,0,0
H0787,63998,82582,0
H0788,68490,37723,0
H0789,0,0,0
H0790,0,0,0
H0791,0,0,0
H0792,0,0,0
H0793,0,0,0
H0794,0,0,0
H0795,17,247,0
H0796,1280,1839,0
H0797,8031,4638,0
H0798,7324,98351,0
H0799,47222,108687,0
H0800,0,0,0
H0801,4796,6672,0
H0802,33890,10865,0
H0803,0,0,0
H0804,0,0,0
H0805,2968,10679,0
H0806,0,0,0
H0807,37715,24481,0
H0808,21790,16620,0
H0809,0,0,0
H0810,0,0,0
H0811,0,0,0
H0812,0,0,0
H0813,3505,33864,0
H0814,1064,18317,0
H0815,31556,44492,0
H0816,7825,6083,0
H0817,32921,34642,0
H0818,0,0,0
H0819,0,0,0
H0820,0,0,0
H0821,0,0,0
H0822,0,0,0
H0823,0,0,0
H0824,0,0,0
H0825,18951,13326,0
H0826,43649,22671,0
H0827,427,684,0
H0828,0,0,0
H0829,0,0,0
H0830,0,0,0
H0831,37337,32734,0
H0832,20704,45797,0
H0833,56529,34362,0
H0834,7140,8956,0
H0835,0,0,0
H0836,0,0,0
H0837,0,0,0
H0838,0,0,0
H0839,0,0,0
H0840,0,0,0
H0841,0,0,0
H0842,41,221,0
H0843,0,0,0
H0844,51304,109810,0
H0845,25610,14086,0
H0846,0,0,0
H0847,0,0,0
H0848,0,0,0
H0849,0,0,0
H0850,3841,2881,0
H0851,405,9844,0
H0852,10542,18644,0
H0853,25918,17350,0
H0854,1449,997,0
H0855,17870,13464,0
H0856,0,0,0
H0857,0,0,0
H0858,0,0,0
H0859,0,0,0
H0860,0,0,0
H0861,494,14330,0
H0862,0,0,0
H0863,20297,8444,0
H0864,247933,392508,0
H0865,10494,2255,0
H0866,0,0,0
H0867,0,0,0
H0868,0,0,0
H0869,470,868,0
H0870,471,3218,0
H0871,74568,74982,0
H0872,3160,3927,0
H0873,256,285,0
H0874,0,0,0
H0875,0,0,0
H0876,0,0,0
H0877,0,0,0
H0878,0,0,0
H0879,0,0,0
H0880,88,71,0
H0881,0,0,0
H0882,55864,25641,0
H0883,22652,13657,0
H0884,0,0,0
H0885,0,0,0
H0886,0,0,0
H0887,13125,32787,0
H0888,10663,18977,0
H0889,1762,2022,0
