HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL,I_WM,I_WM_p,I_WA,I_WA_p,I_WK,I_WK_p,Gi_WM_z,Gi_WM_p,Gi_WA_z,Gi_WA_p,Gi_WK_z,Gi_WK_p,mk_tau,mk_p,EHSA
H1547,0,0,0,-0.08647466076118909,0.6082319855498513,-0.07219953292423141,0.6253804493230997,NA,NA,0.5125988103526827,0.6082319855498513,0.4882391607181035,0.6253804493230997,NA,NA,-1,1,Not_Significant
H1548,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1549,0,0,0,0.17077520189103015,0.4080177562909884,0.1312403111890101,0.46826000361036674,NA,NA,-0.8273869827863918,0.40801775629098863,-0.7253130466966894,0.46826000361036674,NA,NA,1,1,Not_Significant
H1550,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1551,0,0,0,0.17077520189103015,0.6793326237830962,0.1312403111890101,0.717070740274607,NA,NA,-0.41337399579290984,0.6793326237830962,-0.36237644361289945,0.7170707402746069,NA,NA,1,1,Not_Significant
H1552,0,0,0,0.015360473627388675,0.9403683302538396,0.023857168327691154,0.894862317178399,NA,NA,-0.07480692707620834,0.9403683302538396,-0.132154211666776,0.8948623171783989,NA,NA,-1,1,Not_Significant
H1553,11813,23018,0,0.05865485748279043,0.0028956184039363175,0.6662668771973326,9.362910831276018e-5,NA,NA,2.978607072223394,0.0028956184039363093,3.9065349443658786,9.362910831275997e-5,NA,NA,1,1,Sporadic_Hotspot
H1554,61442,29465,0,4.941158017425585,1.025891667877406e-9,1.3148941994612402,4.1129045711823044e-7,NA,NA,6.105328955616509,1.0258916678774174e-9,5.063656494092985,4.1129045711823044e-7,NA,NA,-1,1,Sporadic_Hotspot
H1555,22195,15096,0,0.4772790283315998,0.009910102061320656,0.10158239123780892,0.09595539562362161,NA,NA,2.5789503801097737,0.009910102061320687,1.6647863126312492,0.09595539562362165,NA,NA,-1,1,Sporadic_Hotspot
H1556,84297,47823,0,3.6370692039899177,0.0018926258991307607,1.086504553112756,0.03418962274232816,NA,NA,3.106583904773769,0.0018926258991307577,2.117828169261627,0.03418962274232816,NA,NA,-1,1,Sporadic_Hotspot
H1557,27469,25533,0,0.4345616171936514,0.10618872329763472,0.04698440811959486,0.8185297165288675,NA,NA,1.6155634884899728,0.1061887232976349,0.2294364398526298,0.8185297165288677,NA,NA,-1,1,Not_Significant
H1558,45383,64502,0,0.5214599090834342,0.34597741682981525,0.16026687000750026,0.8275703111311924,NA,NA,0.9424204587960614,0.34597741682981525,0.21781878052889664,0.8275703111311926,NA,NA,-1,1,Not_Significant
H1559,0,0,0,0.0358749648084719,0.8310190546857636,0.0630216365716063,0.669356925285502,NA,NA,-0.21339477617093183,0.8310190546857636,-0.4270307574081119,0.6693569252855018,NA,NA,-1,1,Not_Significant
H1560,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1561,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1562,13319,8240,0,-0.007215456827934994,0.8689276253221674,5.804882811761069e-4,0.9862098995662447,NA,NA,-0.16502078112749471,0.8689276253221674,-0.01728418837892854,0.9862098995662446,NA,NA,1,1,Not_Significant
H1563,59236,24294,0,3.5230215268182605,5.350390106869582e-6,0.8703283248137725,3.753047453355701e-6,NA,NA,4.5505577433804705,5.350390106869582e-6,4.624609519520524,3.7530474533557165e-6,NA,NA,1,1,Sporadic_Hotspot
